ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_bf1
2	33	192.796717172	137.554292929	33	33
2	34	300.184931507	138.824657534	34	34
2	35	522.525622255	136.458272328	35	35
2	36	26.1	137.618333333	36	36
2	37	632.941176471	137.187306502	37	37
2	38	742.863764045	137.716292135	38	38
2	39	797.274410774	137.2003367	39	39
2	40	136.952066116	138.618181818	40	40
2	41	247.071322437	138.947994056	41	41
2	42	411.92	138.460869565	42	42
2	43	576.762738854	138.961783439	43	43
2	44	686.844036697	137.35412844	44	44
2	45	467.015748031	138.045275591	45	45
2	46	247.346314325	192.108484006	46	46
2	47	632.144475921	193.611898017	47	47
2	48	467.156756757	192.245945946	48	48
2	49	521.686591276	190.959612278	49	49
2	50	743.536432161	192.625628141	50	50
2	51	797.78038674	191.998618785	51	51
2	52	137.440890125	192.606397775	52	52
2	53	192.314785374	192.532591415	53	53
2	54	302.335504886	191.776872964	54	54
2	55	82.2006578947	191.996710526	55	55
2	56	357.39010989	191.985347985	56	56
2	57	412.825745683	193.19466248	57	57
2	58	576.729981378	192.677839851	58	58
2	59	686.610412926	193.111310592	59	59
2	60	27.9541446208	194.241622575	60	60
2	61	82.1283618582	248.844743276	61	61
2	62	357.256341789	247.133511348	62	62
2	63	687.873529412	246.910294118	63	63
2	64	521.406657019	247.713458755	64	64
2	65	742.995670996	247.652236652	65	65
2	66	27.5221843003	247.529010239	66	66
2	67	136.933701657	246.959484346	67	67
2	68	631.108191654	248.670788253	68	68
2	69	192.055459272	248.247833622	69	69
2	70	796.609665428	247.630111524	70	70
2	71	246.441509434	248.350943396	71	71
2	72	302.421875	249.105902778	72	72
2	73	467.631477927	248.43378119	73	73
2	74	412.670299728	248.555858311	74	74
2	75	573.909090909	248.352727273	75	75
2	76	413.394849785	302.101573677	76	77
2	77	248.1921875	301.3984375	77	78
2	78	521.998410175	301.724960254	78	79
2	79	26.8598290598	302.220512821	79	80
2	80	137.568359375	301.0859375	80	81
2	81	192.727767695	302.24137931	81	82
2	82	355.979012346	304.77654321	82	83
2	83	686.846543002	303.023608769	83	84
2	84	742.476265823	302.992088608	84	85
2	85	81.2526964561	303.534668721	85	86
2	86	302.994296578	303.02661597	86	87
2	87	577.317460317	303.121693122	87	88
2	88	631.298969072	304.72017673	88	89
2	89	798.084425036	304.624454148	89	90
2	90	467.792682927	304.026132404	90	91
2	91	467.464769648	355.311653117	91	92
2	92	522.485451761	355.007656968	92	93
2	93	688.562764457	357.174894217	93	94
2	94	82.4156928214	359.173622705	94	95
2	95	246.676948052	357.61038961	95	96
2	96	577.285204991	356.192513369	96	97
2	97	136.786231884	357.085144928	97	98
2	98	192.266362253	357.350076104	98	99
2	99	412.385714286	358.864285714	99	100
2	100	797.779706275	358.825100134	100	101
2	101	27.2072243346	357.349809886	101	102
2	102	302.780684105	356.973843058	102	103
2	103	632.046468401	357.576208178	103	104
2	104	742.377622378	357.865384615	104	105
2	105	357.822635135	359.16722973	105	106
2	106	191.685393258	411.099518459	106	107
2	107	356.579027356	411.039513678	107	108
2	108	632.470113086	412.126009693	108	109
2	109	743.210155148	412.650211566	109	110
2	110	247.656692913	412.321259843	110	111
2	111	522.858508604	411.82791587	111	112
2	112	686.666146646	413.254290172	112	113
2	113	797.296137339	412.633762518	113	114
2	114	27.420212766	412.115248227	114	115
2	115	301.926116838	412.73024055	115	116
2	116	468.256735341	413.12044374	116	117
2	117	411.586734694	414.136054422	117	118
2	118	577.892508143	413.232899023	118	119
2	119	81.7983333333	414.296666667	119	120
2	120	135.793307087	413.854330709	120	121
2	121	741.472887768	467.31778058	121	122
2	122	27.5015923567	465.511146497	122	123
2	123	632.208623088	467.422809458	123	124
2	124	687.656760773	466.260029718	124	125
2	125	192.843137255	467.619281046	125	126
2	126	358.266754271	468.005256242	126	127
2	127	412.366713681	467.291960508	127	-128
2	128	82.6606260297	467.110378913	128	-127
2	129	795.947976879	466.761078998	129	-126
2	130	577.877516779	468.16442953	130	-125
2	131	136.700869565	469.486956522	131	-124
2	132	246.982206406	468.818505338	132	-123
2	133	303.292880259	470.521035599	133	-122
2	134	467.529411765	468.757785467	134	-121
2	135	522.334061135	467.366812227	135	-120
2	136	28.6020942408	522.770942408	136	-119
2	137	192.629934211	520.455592105	137	-118
2	138	522.450151057	521.46223565	138	-117
2	139	136.878338279	522.09347181	139	-116
2	140	412.290824261	522.419906687	140	-115
2	141	632.589473684	521.738596491	141	-114
2	142	742.456221198	522.557603687	142	-113
2	143	246.628617363	522.573954984	143	-112
2	144	301.439144737	522.476973684	144	-111
2	145	357.349745331	522.899830221	145	-110
2	146	577.038535645	521.924855491	146	-109
2	147	687.743801653	522.770247934	147	-108
2	148	798.051083591	524.941176471	148	-107
2	149	467.414855072	524.063405797	149	-106
2	150	81.14	524.378	150	-105
2	151	798.503546099	577.360520095	151	-104
2	152	27.7079934747	576.513866232	152	-103
2	153	137.174366617	576.946348733	153	-102
2	154	192.615384615	576.611111111	154	-101
2	155	302.685582822	576.601226994	155	-100
2	156	412.487844408	576.43273906	156	-99
2	157	687.745127436	577.614692654	157	-98
2	158	247.416666667	576.942592593	158	-97
2	159	467.211720227	577.18147448	159	-96
2	160	521.996485062	577.087873462	160	-95
2	161	632.486254296	579.256013746	161	-94
2	162	82.5887230514	577.817578773	162	-93
2	163	357.244343891	579.126696833	163	-92
2	164	576.732240437	577.342440801	164	-91
2	165	741.556603774	577.256603774	165	-90
2	166	27.1020092736	632.188562597	166	-89
2	167	136.371888726	632.732064422	167	-88
2	168	301.504611331	633.338603426	168	-87
2	169	357.051529791	631.98389694	169	-86
2	170	577.584229391	630.928315412	170	-85
2	171	686.886075949	631.22965642	171	-84
2	172	741.633064516	633.02016129	172	-83
2	173	81.9010494753	633.847076462	173	-82
2	174	191.121575342	632.890410959	174	-81
2	175	247.68	632.92	175	-80
2	176	466.54853621	632.568567026	176	-79
2	177	522.522292994	632.855095541	177	-78
2	178	632.905688623	632.54491018	178	-77
2	179	797.363636364	632.316498316	179	-76
2	180	413.182902584	632.322067594	180	-75
2	181	412.692431562	682.961352657	181	-74
2	182	246.559006211	687.047204969	182	-73
2	183	797.37972973	685.932432432	183	-72
2	184	28.7091690544	687.375358166	184	-71
2	185	82.4914772727	687.190340909	185	-70
2	186	136.717008798	686.75659824	186	-69
2	187	357.752738654	687.455399061	187	-68
2	188	466.965337955	686.908145581	188	-67
2	189	522.586148649	687.469594595	189	-66
2	190	191.669064748	688.579856115	190	-65
2	191	302.727692308	687.892307692	191	-64
2	192	632.216354344	687.63032368	192	-63
2	193	577.486815416	687.064908722	193	-62
2	194	687.364312268	687.321561338	194	-61
2	195	742.036866359	689.414746544	195	-60
2	196	467.602803738	739.370716511	196	-59
2	197	246.792929293	739.723905724	197	-58
2	198	28.5306957708	742.485675307	198	-57
2	199	356.46375	742.42125	199	-56
2	200	412.351851852	742.197089947	200	-55
2	201	631.789004458	742.139673105	201	-54
2	202	687.063049853	741.746334311	202	-53
2	203	742.298192771	740.80873494	203	-52
2	204	137.453752182	741.495636998	204	-51
2	205	301.778571429	741.555357143	205	-50
2	206	579.956909361	742.389301634	206	-49
2	207	82.2504892368	743.493150685	207	-48
2	208	193.016611296	743.061461794	208	-47
2	209	522.859322034	742.728813559	209	-46
2	210	797.876560333	743.545076283	210	-45
2	211	577.821200511	794.558109834	211	-44
2	212	742.636020151	796.895465995	212	-43
2	213	302.65648855	797.264631043	213	-42
2	214	358.497797357	796.929515419	214	-41
2	215	797.395807645	797.944512947	215	-40
2	216	26.2350299401	797.597305389	216	-39
2	217	412.039130435	797.304347826	217	-38
2	218	467.010204082	796.998542274	218	-37
2	219	82.1549755302	797.978792822	219	-36
2	220	192.298657718	797.187919463	220	-35
2	221	634.434782609	797.32	221	-34
2	222	687.247945205	799.149315068	222	-33
2	223	137.226356589	799.16124031	223	-32
2	224	246.489655172	798.131034483	224	-31
2	225	521.784482759	800.179310345	225	-30
3	1	136.756563246	25.508353222	1	1
3	2	246.938931298	26.4122137405	2	2
3	3	412.824436536	26.0889679715	3	3
3	4	467.206896552	27.744612069	4	4
3	5	687.0	27.0091533181	5	5
3	6	741.767012687	27.4982698962	6	6
3	7	27.6760280843	29.0762286861	7	7
3	8	82.3509933775	27.1165562914	8	8
3	9	192.705357143	27.3941326531	9	9
3	10	358.755386565	27.3460076046	10	10
3	11	632.31968032	29.3976023976	11	11
3	12	302.036764706	27.6205882353	12	12
3	13	522.329529244	27.14978602	13	13
3	14	576.927580894	27.1895223421	14	14
3	15	799.337468983	29.3697270471	15	15
3	16	138.083509514	81.0391120507	16	16
3	17	303.582811101	83.2399283796	17	17
3	18	522.18065153	82.1431391905	18	18
3	19	82.1935483871	82.3152965661	19	19
3	20	632.963519313	82.4731759657	20	20
3	21	192.313926941	82.7340182648	21	21
3	22	246.507832898	81.318537859	22	22
3	23	357.611866502	83.0160692213	23	23
3	24	742.058152794	82.7993158495	24	24
3	25	27.8803986711	83.4186046512	25	25
3	26	577.53046595	82.9295101553	26	26
3	27	687.611044418	82.8055222089	27	27
3	28	412.48582996	82.7435897436	28	28
3	29	797.146095718	83.774559194	29	29
3	30	466.901574803	83.8989501312	30	30
3	31	687.668131868	136.08021978	31	31
3	32	27.8564705882	137.115294118	32	32
3	33	135.543973941	137.510314875	33	33
3	34	247.825293351	136.530638853	34	34
3	35	411.981707317	138.567073171	35	35
3	36	522.165909091	137.798863636	36	36
3	37	302.59245283	136.991194969	37	37
3	38	357.745783133	138.153012048	38	38
3	39	796.214128035	137.933774834	39	39
3	40	189.709016393	138.0	40	40
3	41	467.799472296	138.294195251	41	41
3	42	632.376344086	137.985215054	42	42
3	43	741.827040195	138.645554202	43	43
3	44	82.2769440655	138.89904502	44	44
3	45	577.216833096	139.77318117	45	45
3	46	136.923224568	192.926103647	46	47
3	47	576.329210276	192.319695528	47	48
3	48	633.771194166	192.397447584	48	49
3	49	246.817253121	193.604994325	49	50
3	50	301.443983402	190.822959889	50	51
3	51	466.91005291	193.176719577	51	52
3	52	686.981132075	192.764705882	52	53
3	53	795.146624473	192.168776371	53	54
3	54	27.6109785203	192.577565632	54	55
3	55	81.2939597315	192.344966443	55	56
3	56	356.55570118	191.777195282	56	57
3	57	521.946335079	191.697643979	57	58
3	58	742.404651163	192.611627907	58	59
3	59	411.72754491	191.866766467	59	60
3	60	192.003984064	195.002656042	60	61
3	61	577.885919836	246.696813977	61	62
3	62	631.985074627	247.525373134	62	63
3	63	27.5021881838	247.230853392	63	64
3	64	82.9409326425	247.419689119	64	65
3	65	467.385360603	247.65123789	65	66
3	66	301.141304348	247.714130435	66	67
3	67	357.138686131	246.757907543	67	68
3	68	522.830367734	247.908659549	68	69
3	69	741.250537634	248.064516129	69	70
3	70	192.262843489	247.53046595	70	71
3	71	247.432648402	247.979452055	71	72
3	72	687.972222222	248.502415459	72	73
3	73	137.293463143	248.147426982	73	74
3	74	411.197183099	248.66709347	74	75
3	75	797.462337662	245.124675325	75	76
3	76	82.7643243243	302.782702703	76	77
3	77	138.053204353	302.723095526	77	78
3	78	358.024361949	302.11136891	78	79
3	79	412.801104972	302.897237569	79	80
3	80	521.481927711	302.803943045	80	81
3	81	576.230680507	301.855824683	81	82
3	82	633.205191595	302.088998764	82	83
3	83	742.847775176	303.370023419	83	84
3	84	688.267489712	302.632373114	84	85
3	85	796.958801498	302.514357054	85	86
3	86	191.981435644	303.70049505	86	87
3	87	468.507328072	304.94475761	87	88
3	88	27.4083769634	306.254450262	88	89
3	89	247.712962963	304.623015873	89	90
3	90	301.96804261	304.069241012	90	91
3	91	412.528375734	357.032289628	91	92
3	92	576.931818182	356.896245059	92	93
3	93	687.291084855	357.13641246	93	94
3	94	137.968061674	357.920704846	94	95
3	95	192.057421452	357.771397616	95	96
3	96	302.399784483	357.886853448	96	97
3	97	468.506637168	358.078539823	97	98
3	98	742.762364294	356.729794934	98	99
3	99	82.8022857143	358.501714286	99	100
3	100	247.291348601	357.455470738	100	101
3	101	521.603571429	358.373809524	101	102
3	102	631.67027027	358.76972973	102	103
3	103	797.204030227	358.938287154	103	104
3	104	27.334180432	359.337992376	104	105
3	105	356.775193798	358.527131783	105	106
3	106	577.351351351	411.654791155	106	108
3	107	137.145251397	413.693854749	107	109
3	108	192.854330709	412.406496063	108	110
3	109	412.574579832	411.784663866	109	111
3	110	523.562860438	412.357554787	110	112
3	111	686.930824008	412.19837233	111	113
3	112	742.184655397	410.914174252	112	114
3	113	357.741339492	412.275981524	113	115
3	114	82.6147651007	412.103355705	114	116
3	115	247.212903226	412.56516129	115	117
3	116	631.774647887	413.099871959	116	118
3	117	797.494178525	412.047865459	117	119
3	118	27.2938931298	412.748091603	118	120
3	119	302.757102273	412.725852273	119	121
3	120	467.604815864	415.966005666	120	122
3	121	633.076563959	464.964519141	121	123
3	122	192.495247148	467.144486692	122	124
3	123	413.153263955	467.16461684	123	125
3	124	246.466666667	467.771929825	124	126
3	125	304.798708288	467.655543595	125	127
3	126	577.601741023	467.949945593	126	-128
3	127	687.542334096	468.131578947	127	-127
3	128	742.392307692	467.540659341	128	-126
3	129	796.976387249	467.969303424	129	-125
3	130	137.709933775	467.692715232	130	-124
3	131	522.248	467.186666667	131	-123
3	132	81.426323319	467.898426323	132	-122
3	133	356.288056206	468.908665105	133	-121
3	134	465.996212121	469.388888889	134	-120
3	135	27.4320113314	468.90368272	135	-119
3	136	357.107723577	522.12601626	136	-118
3	137	522.780110497	522.662983425	137	-117
3	138	467.726027397	522.430979979	138	-116
3	139	27.60094451	522.245572609	139	-115
3	140	302.035322777	521.830694275	140	-114
3	141	412.23253012	522.454216867	141	-113
3	142	741.879347826	522.618478261	142	-112
3	143	796.84572697	522.902330744	143	-111
3	144	82.9013906448	523.592920354	144	-110
3	145	137.042253521	522.615877081	145	-109
3	146	192.728606357	522.56601467	146	-108
3	147	577.194516971	522.04308094	147	-107
3	148	631.08365019	521.602027883	148	-106
3	149	687.572127139	522.685819071	149	-105
3	150	248.035673188	524.586881473	150	-104
3	151	411.799220273	577.389863548	151	-103
3	152	82.2073897497	576.649582837	152	-102
3	153	301.690571049	576.0	153	-101
3	154	689.387134503	577.619883041	154	-100
3	155	796.849122807	577.49005848	155	-99
3	156	136.939692982	579.530701754	156	-98
3	157	247.400758534	577.324905183	157	-97
3	158	357.335644938	576.883495146	158	-96
3	159	465.95646438	577.04353562	159	-95
3	160	577.78398314	579.658587987	160	-94
3	161	192.391549296	577.84084507	161	-93
3	162	741.783746556	577.575757576	162	-92
3	163	27.2047244094	579.165354331	163	-91
3	164	522.494897959	578.896683673	164	-90
3	165	631.787128713	577.554455446	165	-89
3	166	743.780160858	629.849865952	166	-88
3	167	302.152636448	632.257169288	167	-87
3	168	522.348173516	632.2956621	168	-86
3	169	798.620469083	632.515991471	169	-85
3	170	26.7133507853	631.304973822	170	-84
3	171	136.873433584	632.072681704	171	-83
3	172	412.668838219	633.173724213	172	-82
3	173	632.019393939	632.418181818	173	-81
3	174	81.8932655654	632.447268107	174	-80
3	175	247.832320778	632.454434994	175	-79
3	176	357.594530321	632.900118906	176	-78
3	177	687.395881007	633.69221968	177	-77
3	178	190.91994382	633.879213483	178	-76
3	179	466.285714286	633.754120879	179	-75
3	180	577.427272727	633.837662338	180	-74
3	181	82.1543086172	689.175350701	181	-73
3	182	632.086253369	688.309074573	182	-72
3	183	687.94800885	687.01880531	183	-71
3	184	742.85479798	685.607323232	184	-70
3	185	26.6595264938	687.69222097	185	-69
3	186	136.883744856	688.201646091	186	-68
3	187	191.997471555	687.137800253	187	-67
3	188	301.700688073	687.548165138	188	-66
3	189	356.789934354	687.984682713	189	-65
3	190	796.405594406	687.757575758	190	-64
3	191	248.76875	687.22875	191	-63
3	192	412.583875163	687.182054616	192	-62
3	193	577.662807525	687.053545586	193	-61
3	194	522.018099548	686.737556561	194	-60
3	195	467.705293276	688.442060086	195	-59
3	196	577.427083333	740.221064815	196	-58
3	197	247.63608871	742.45766129	197	-57
3	198	137.701771654	742.095472441	198	-56
3	199	466.366812227	742.316593886	199	-55
3	200	742.25	740.973076923	200	-54
3	201	798.132280355	743.256663376	201	-53
3	202	191.800235018	742.309048179	202	-52
3	203	411.879482072	743.022908367	203	-51
3	204	687.377952756	742.24071991	204	-50
3	205	27.2833914053	742.778164925	205	-49
3	206	82.5336538462	742.742788462	206	-48
3	207	357.244252874	741.722701149	207	-47
3	208	522.627260083	742.344923505	208	-46
3	209	632.245942572	742.052434457	209	-45
3	210	301.599226804	742.99871134	210	-44
3	211	357.479774224	797.512699906	211	-43
3	212	192.430042918	798.839484979	212	-42
3	213	577.578010471	797.515183246	213	-41
3	214	743.786324786	797.788461538	214	-40
3	215	83.3768115942	797.428743961	215	-39
3	216	138.255011136	797.540089087	216	-38
3	217	27.1562082777	797.125500668	217	-37
3	218	247.377899045	796.848567531	218	-36
3	219	412.36329588	797.555555556	219	-35
3	220	466.773706897	799.517241379	220	-34
3	221	687.394242804	796.887359199	221	-33
3	222	301.823444284	797.280752533	222	-32
3	223	522.845425868	796.206624606	223	-31
3	224	632.277697842	797.329496403	224	-30
3	225	797.243932039	800.160194175	225	-29
4	1	28.0397111913	27.8219013237	1	1
4	2	81.9886649874	26.6662468514	2	2
4	3	137.401273885	27.0624203822	3	3
4	4	193.819498069	28.3783783784	4	4
4	5	247.659267481	27.4972253052	5	5
4	6	137.846285226	81.38941076	6	6
4	7	247.875	82.783266129	7	7
4	8	28.3794369645	82.1970624235	8	8
4	9	82.468503937	82.2952755906	9	9
4	10	192.602136182	82.4232309746	10	10
4	11	81.9631255487	138.784899034	11	11
4	12	26.9587750294	136.961130742	12	12
4	13	137.762077295	137.782608696	13	13
4	14	247.105067985	138.066749073	14	14
4	15	191.935211268	137.392957746	15	15
4	16	195.195378151	192.073529412	16	16
4	17	247.189393939	192.445075758	17	17
4	18	136.824808184	192.471867008	18	18
4	19	26.3902097902	192.788811189	19	19
4	20	82.6036414566	192.774509804	20	20
4	21	82.2115384615	247.027472527	21	21
4	22	26.936596218	247.906562848	22	22
4	23	191.940898345	247.535460993	23	23
4	24	136.976774194	247.849032258	24	24
4	25	247.322324967	248.150594452	25	25
4	26	82.8678601876	304.254049446	26	26
4	27	192.845580405	302.305644302	27	27
4	28	247.116788321	302.653284672	28	28
4	29	26.758698092	302.985409652	29	29
4	30	137.636627907	302.297965116	30	30
4	31	78.1588888889	357.068888889	31	31
4	32	27.9185929648	358.488442211	32	32
4	33	137.594627595	356.927960928	33	33
4	34	247.631578947	358.13622291	34	34
4	35	191.994722955	357.613456464	35	35
4	36	27.7989583333	411.36875	36	36
4	37	248.35701107	412.577490775	37	37
4	38	137.519455253	413.166342412	38	38
4	39	82.0681003584	412.750298686	39	39
4	40	192.383544304	412.758227848	40	40
4	41	82.1383363472	467.033453888	41	41
4	42	192.877659574	467.421276596	42	42
4	43	137.487769784	466.860431655	43	43
4	44	26.3637901861	468.401015228	44	44
4	45	81.6985157699	521.913729128	45	45
4	46	192.5623069	522.01338826	46	46
4	47	26.96	522.848235294	47	47
4	48	137.536165327	521.973593571	48	48
4	49	137.302142052	577.83427283	49	49
4	50	192.967153285	577.98540146	50	50
4	51	27.8111731844	577.69273743	51	51
4	52	81.9323725055	578.162971175	52	52
4	53	82.4176165803	633.067357513	53	53
4	54	192.785631518	632.59212051	54	54
4	55	28.0087064677	632.309701493	55	55
4	56	137.796632124	632.06865285	56	56
4	57	193.849142857	685.962285714	57	57
4	58	82.3676122931	687.728132388	58	58
4	59	137.166462668	686.839657283	59	59
4	60	26.9584415584	686.961038961	60	60
4	61	26.9372275501	742.83435048	61	61
4	62	82.2525380711	741.888324873	62	62
4	63	136.796740173	743.119846596	63	63
4	64	192.069767442	742.236918605	64	64
4	65	28.0215285253	796.994617869	65	65
4	66	82.2583333333	797.135416667	66	66
4	67	137.432867884	797.509129968	67	67
4	68	191.033081285	797.920604915	68	68
5	1	686.875949367	26.0658227848	1	1
5	2	192.478527607	25.5398773006	2	2
5	3	356.289235826	28.1002465078	3	3
5	4	522.950606586	27.5103986135	4	4
5	5	631.994633274	27.831842576	5	5
5	6	413.114822547	26.9749478079	6	6
5	7	82.5473908413	26.9297124601	7	7
5	8	135.440298507	25.0149253731	8	8
5	9	247.091198303	27.1378579003	9	9
5	10	302.702702703	27.4948024948	10	10
5	11	467.486381323	27.5564202335	11	11
5	12	797.462749213	27.3641133263	12	12
5	13	28.7096018735	27.6475409836	13	13
5	14	577.684434968	28.1353944563	14	14
5	15	742.829612221	27.8942420682	15	15
5	16	81.8483786152	82.4189307625	16	16
5	17	466.859751037	83.087966805	17	17
5	18	412.910958904	82.7318982387	18	18
5	19	740.973320158	83.1541501976	19	19
5	20	798.395178197	82.0733752621	20	20
5	21	358.075742068	83.1125895599	21	21
5	22	577.135672515	82.2479532164	22	22
5	23	632.413984462	83.1065482797	23	23
5	24	687.798235943	83.3803748622	24	24
5	25	27.4489051095	82.4403892944	25	25
5	26	136.012903226	82.0916129032	26	26
5	27	192.433705081	83.2366790582	27	27
5	28	246.483353884	82.4451294698	28	28
5	29	302.143037975	82.6936708861	29	29
5	30	522.41511772	81.8488228005	30	30
5	31	248.538033395	137.433209647	31	31
5	32	301.643738977	136.820987654	32	32
5	33	357.302325581	138.66726297	33	33
5	34	688.232749743	137.277033986	34	34
5	35	797.337068161	138.104575163	35	35
5	36	26.5399113082	137.390243902	36	36
5	37	81.5937794533	139.034872762	37	37
5	38	138.036948749	137.610250298	38	38
5	39	412.530657748	137.25083612	39	39
5	40	631.50627138	137.621436716	40	40
5	41	743.478649454	138.803376365	41	41
5	42	192.982028241	137.57381258	42	42
5	43	521.867665418	136.983770287	43	43
5	44	577.234693878	137.033163265	44	44
5	45	468.210982659	138.073699422	45	45
5	46	468.163490471	192.241725176	46	46
5	47	576.761363636	191.832644628	47	47
5	48	138.14271556	192.617443013	48	48
5	49	633.055555556	192.623931624	49	49
5	50	247.351809955	191.990950226	50	50
5	51	303.688264059	192.372860636	51	51
5	52	521.777056277	192.757575758	52	52
5	53	742.276829268	192.602439024	53	53
5	54	28.4659863946	193.624716553	54	54
5	55	192.33145434	193.281848929	55	55
5	56	357.424206816	193.220916569	56	56
5	57	412.3808948	193.349455865	57	57
5	58	687.527497194	193.121212121	58	58
5	59	795.590909091	191.944903581	59	59
5	60	80.9190404798	193.092953523	60	60
5	61	192.38664158	247.27187206	61	62
5	62	303.071028037	247.23364486	62	63
5	63	412.063071298	247.647166362	63	64
5	64	632.629107981	247.574647887	64	65
5	65	137.688205128	247.421538462	65	66
5	66	248.051984877	247.825141777	66	67
5	67	358.516129032	248.425219941	67	68
5	68	525.061601643	247.066735113	68	69
5	69	798.446632124	248.487046632	69	70
5	70	79.0580964153	246.64894932	70	71
5	71	467.462301587	248.350198413	71	72
5	72	577.906213365	247.615474795	72	73
5	73	688.395127119	247.826271186	73	74
5	74	743.812852311	247.506200676	74	75
5	75	27.269183922	247.496954933	75	76
5	76	413.906222612	302.53549518	76	77
5	77	522.241071429	302.148538961	77	78
5	78	136.606324973	300.393675027	78	79
5	79	470.354609929	302.530901722	79	80
5	80	688.414905451	302.163515017	80	81
5	81	742.204081633	302.889212828	81	82
5	82	798.829218107	302.366255144	82	83
5	83	28.2839632278	303.338100102	83	84
5	84	82.3006396588	303.068230277	84	85
5	85	247.355653128	302.810098793	85	86
5	86	577.712398374	303.12703252	86	87
5	87	192.762416107	302.06442953	87	88
5	88	302.781512605	302.593037215	88	89
5	89	357.556910569	302.180216802	89	90
5	90	631.449101796	302.99251497	90	91
5	91	302.937762826	357.454163162	91	92
5	92	137.761441091	356.962999026	92	93
5	93	358.366604478	357.980410448	93	94
5	94	413.733733734	356.705705706	94	95
5	95	82.03722334	357.035211268	95	96
5	96	246.867293626	357.687565308	96	97
5	97	468.878635908	357.775325978	97	98
5	98	522.322015334	357.674698795	98	99
5	99	577.871875	357.779166667	99	100
5	100	28.1204819277	357.345016429	100	101
5	101	632.382432432	355.82027027	101	102
5	102	686.066817667	357.283125708	102	103
5	103	192.091377091	357.435006435	103	104
5	104	741.994764398	357.435863874	104	105
5	105	796.150470219	357.340125392	105	106
5	106	302.579823702	411.680705191	106	108
5	107	82.5775234131	412.867845994	107	109
5	108	358.262183236	412.983430799	108	110
5	109	468.139607032	412.28024819	109	111
5	110	577.325518485	413.15509468	110	112
5	111	632.404371585	412.507103825	111	113
5	112	797.291931097	413.786944696	112	114
5	113	137.953271028	412.501168224	113	115
5	114	192.100125156	411.692115144	114	116
5	115	412.22403734	412.435239207	115	117
5	116	521.784313725	412.477941176	116	118
5	117	688.478563152	412.249130939	117	119
5	118	27.2227912932	412.565941101	118	120
5	119	248.908695652	413.738043478	119	121
5	120	742.206622517	412.41192053	120	122
5	121	247.772994129	466.97553816	121	123
5	122	468.015165031	467.597680642	122	124
5	123	742.6208577	467.467836257	123	125
5	124	522.615571776	466.560827251	124	126
5	125	688.540880503	468.725965858	125	127
5	126	797.310077519	466.342192691	126	-128
5	127	82.7646356033	467.059737157	127	-127
5	128	192.930803571	467.339285714	128	-126
5	129	357.234196891	468.113989637	129	-125
5	130	413.239043825	468.946215139	130	-124
5	131	578.562564633	468.412616339	131	-123
5	132	632.690557452	467.281001138	132	-122
5	133	28.0383693046	467.755395683	133	-121
5	134	302.985765125	467.68801898	134	-120
5	135	137.633605601	469.343057176	135	-119
5	136	359.187434555	521.916230366	136	-117
5	137	412.029239766	522.23294347	137	-116
5	138	521.710626186	522.545540797	138	-115
5	139	192.352941176	522.79876161	139	-114
5	140	247.025490196	523.105882353	140	-113
5	141	798.45404814	522.11487965	141	-112
5	142	27.5724381625	521.906949352	142	-111
5	143	468.242524917	522.496124031	143	-110
